id;name;description;icon
1;de peur de souple;commissionnaire;secours incognito ouah
2;athlète alors que;gestionnaire;sur solitaire quand
3;avant que;rédaction altruiste;zzzz
4;commissionnaire appliquer au moyen de;y;diététiste guide
5;bien que;bon à cause de déjeuner;membre à vie
6;au point que ha ha;rectangulaire ouin;maigre trop
7;espiègle de crainte que;hypocrite au-dessous;alors que gai
8;suivant diététiste police;complètement;porte-parole éclaircir
9;contenir;glouglou restreindre infime;antique minuscule sage
10;altruiste inviter;coupable;près de
