id;name;description;category;procedure_id;step_by_step_guide;estimated_time;required_tools;skills_required;safety_instructions;last_reviewed;reviewed_by;attachments
1;psitt a outre;jusqu’à ce que gestionnaire;proche jusqu’à ce que;18457;confronter;32640;chef;infime avant pacifique;marcher séculaire fade;2024-01-15;fade;quoique
2;pour que solitaire présidence;commissionnaire agréable cot cot;pas mal terne;8735;aussitôt que gens;27345;au-dessous de touriste;guère collègue lorsque;groin groin;2024-01-16;atchoum au cas où;dans la mesure où
3;de sorte que quant à envers;terne à bas de hi;conseil d’administration atchoum bof;1838;entre-temps adversaire ha ha;14872;miam;bien que voler autour;payer alors;2024-01-16;rose;ouch
4;ha par;concurrence trier candide;parmi marier parlementaire;18474;quand jeune oh;730;mature gratis;rectangulaire si;simple;2024-01-16;regagner miaou commis de cuisine;chef
5;tchou tchouu presque;former;à la merci de peur de;11382;demain aussitôt que présidence;2147;tant sembler;beaucoup via;meuh quelque apparemment;2024-01-15;chef de cuisine;triathlète
6;communauté étudiante;fonctionnaire jusqu’à ce que chut;hors de;26900;près au-devant à la faveur de;22297;même rectorat;sans;meuh justifier dès;2024-01-16;efficace;insulter hé
7;ça adversaire;coûter;commis;3264;bof ouch demain;22997;hôte adversaire puis;pas mal;police membre de l’équipe croâ;2024-01-16;maigre ha ha boum;divinement séculaire toujours
8;au défaut de hôte;vide;broum céans;18951;réaliser aux alentours de;2498;conseil municipal;rédaction rose au prix de;à moins de collègue;2024-01-16;concernant que plic;dès que au prix de trop
9;neutre ouch bè;d’autant que;ferme aventurer séculaire;3801;vaste;32419;antagoniste;calmer;parlementaire;2024-01-16;bof;coac coac
10;étant donné que près de environ;grrr blablabla;de façon à ce que mairie considérable;12949;ensuite collègue conseil d’administration;14455;au cas où;pschitt aussitôt que malgré;à raison de;2024-01-16;derrière près promener;photographier effectuer
