id;name;type;purchase_date;warranty_end_date;manufacturer;model;status_material;last_maintenance_date;note;serial_number
1;accomplir espiègle beaucoup;moderne snif marron;2024-01-15;2024-01-16;pendant que en faveur de plaider;encore;camarade autour;2024-01-15;de par reculer;8120
2;habile membre titulaire;manger;2024-01-16;2024-01-15;devant au point que dès que;trop pourvu que;peut-être;2024-01-16;choir ainsi;28082
3;dynamique exprès;pauvre de manière à ce que;2024-01-16;2024-01-15;smack après que;membre du personnel rectorat;toujours;2024-01-15;secours;18420
4;population du Québec;alors;2024-01-15;2024-01-16;de sorte que;tchou tchouu plouf;parlementaire croâ si bien que;2024-01-15;si;19108
5;psitt avant de;environ lutter;2024-01-16;2024-01-15;près buter répartir;trop;ouf;2024-01-15;de sorte que rectangulaire;23541
6;pschitt avant que tant;quelquefois;2024-01-16;2024-01-16;attirer avant que;recta lécher;sauvage diététiste;2024-01-16;plouf désormais touriste;29484
7;patientèle serviable;sans que;2024-01-16;2024-01-16;empêcher;paf trop;de sorte que;2024-01-16;quand ?;20939
8;plouf habituer;dissimuler;2024-01-15;2024-01-16;ha juriste;avant-hier de peur que hésiter;tic-tac;2024-01-15;de peur que maigre mieux;30409
9;grrr;quasiment désormais;2024-01-16;2024-01-16;cuicui jusqu’à ce que sitôt que;de peur de cocorico amorphe;cocorico;2024-01-16;affable quasi entourer;21039
10;après contrarier;afin que diplomate;2024-01-16;2024-01-16;brusque peu au-dessus;pourvu que;autrefois près;2024-01-16;bûcher clientèle;23746
