id;name;status_code;description;color_code;next_possible_status;is_final
1;tant que guide;percer;a énorme;parmi p;toc-toc de manière à;false
2;croître à cause de;hormis;excéder malade fonctionnaire;casser;hystérique à l'exception de;true
3;vaste tant même si;porte-parole;que membre titulaire si;étant d;paf;true
4;pour;clientèle;consommer un peu smack;dessus;diplomate;true
5;pas mal si;ding de manière à ce;juriste;spécial;excuser également étant donné que;true
6;rédaction quitte à;rectorat extra;bè;innombr;parmi;false
7;aussitôt;touriste;clac;entre-t;pour que ignorer de la part de;false
8;même si responsable;impromptu;même suivant en dedans de;au lieu;par marron;false
9;améliorer admirablement en outre de;moins derrière alors;contre lentement débile;séculai;turquoise;true
10;apparemment jusque;altruiste clac;antique clientèle;neutre;au cas où marron;false
