id;title;description;created_at;resolution_date;closed_at;limit_date;impact;resolution;attachments
1;absolument par suite de;parce que au-delà que;2024-01-16;2024-01-16;2024-01-15;2024-01-16;oh;interrompre;assez choisir
2;longtemps ha;membre à vie rectorat;2024-01-15;2024-01-16;2024-01-16;2024-01-16;en dedans de;après-demain également si bien que;aussitôt que cadre
3;de sorte que puis;fier;2024-01-16;2024-01-15;2024-01-15;2024-01-16;considérable obtenir lors de;arracher;excéder
4;à raison de lancer;succéder commenter main-d’œuvre;2024-01-15;2024-01-16;2024-01-16;2024-01-15;tchou tchouu grrr devant;commis;touriste groin groin commissionnaire
5;de;ronron découper;2024-01-16;2024-01-15;2024-01-16;2024-01-16;énergique;spécialiste;à raison de derrière vétuste
6;sans doute ouin crever;parmi ouah;2024-01-16;2024-01-15;2024-01-16;2024-01-16;par rapport à pacifique;pschitt pour que;toc hôte
7;hors;outre avant demain;2024-01-15;2024-01-16;2024-01-16;2024-01-15;hi collaborer;contrôler au-dessus joliment;fleurir
8;meuh;à l'égard de si;2024-01-15;2024-01-16;2024-01-15;2024-01-16;de;cuicui en faveur de;main-d’œuvre de crainte que ordonner
9;dynamique pin-pon;jadis en face de;2024-01-15;2024-01-16;2024-01-16;2024-01-15;conseil d’administration étant donné que;mairie hôte;de crainte que
10;perplexe à même;paraître;2024-01-16;2024-01-15;2024-01-15;2024-01-15;y circulaire cuicui;à l'exception de avare pis;premièrement
